T,k,iv
0.25,-0.5000000000,0.2000000000
0.25,-0.4285714286,0.2000000000
0.25,-0.3571428571,0.2000000000
0.25,-0.2857142857,0.2000000000
0.25,-0.2142857143,0.2000000000
0.25,-0.1428571429,0.2000000000
0.25,-0.0714285714,0.2000000000
0.25,0.0000000000,0.2000000000
0.25,0.0714285714,0.2000000000
0.25,0.1428571429,0.2000000000
0.25,0.2142857143,0.2000000000
0.25,0.2857142857,0.2000000000
0.25,0.3571428571,0.2000000000
0.25,0.4285714286,0.2000000000
0.25,0.5000000000,0.2000000000
0.5,-0.5000000000,0.2000000000
0.5,-0.4285714286,0.2000000000
0.5,-0.3571428571,0.2000000000
0.5,-0.2857142857,0.2000000000
0.5,-0.2142857143,0.2000000000
0.5,-0.1428571429,0.2000000000
0.5,-0.0714285714,0.2000000000
0.5,0.0000000000,0.2000000000
0.5,0.0714285714,0.2000000000
0.5,0.1428571429,0.2000000000
0.5,0.2142857143,0.2000000000
0.5,0.2857142857,0.2000000000
0.5,0.3571428571,0.2000000000
0.5,0.4285714286,0.2000000000
0.5,0.5000000000,0.2000000000
1.0,-0.5000000000,0.2000000000
1.0,-0.4285714286,0.2000000000
1.0,-0.3571428571,0.2000000000
1.0,-0.2857142857,0.2000000000
1.0,-0.2142857143,0.2000000000
1.0,-0.1428571429,0.2000000000
1.0,-0.0714285714,0.2000000000
1.0,0.0000000000,0.2000000000
1.0,0.0714285714,0.2000000000
1.0,0.1428571429,0.2000000000
1.0,0.2142857143,0.2000000000
1.0,0.2857142857,0.2000000000
1.0,0.3571428571,0.2000000000
1.0,0.4285714286,0.2000000000
1.0,0.5000000000,0.2000000000
2.0,-0.5000000000,0.2000000000
2.0,-0.4285714286,0.2000000000
2.0,-0.3571428571,0.2000000000
2.0,-0.2857142857,0.2000000000
2.0,-0.2142857143,0.2000000000
2.0,-0.1428571429,0.2000000000
2.0,-0.0714285714,0.2000000000
2.0,0.0000000000,0.2000000000
2.0,0.0714285714,0.2000000000
2.0,0.1428571429,0.2000000000
2.0,0.2142857143,0.2000000000
2.0,0.2857142857,0.2000000000
2.0,0.3571428571,0.2000000000
2.0,0.4285714286,0.2000000000
2.0,0.5000000000,0.2000000000
