T,k,iv
0.25,-0.5000000000,0.3692429179
0.25,-0.4285714286,0.3488167503
0.25,-0.3571428571,0.3272423294
0.25,-0.2857142857,0.3043488680
0.25,-0.2142857143,0.2799606436
0.25,-0.1428571429,0.2539792616
0.25,-0.0714285714,0.2267051030
0.25,0.0000000000,0.2000000000
0.25,0.0714285714,0.1798482505
0.25,0.1428571429,0.1732056153
0.25,0.2142857143,0.1772557181
0.25,0.2857142857,0.1859260565
0.25,0.3571428571,0.1961771201
0.25,0.4285714286,0.2068396381
0.25,0.5000000000,0.2174626062
0.5,-0.5000000000,0.3255827761
0.5,-0.4285714286,0.3095495625
0.5,-0.3571428571,0.2927939372
0.5,-0.2857142857,0.2752619191
0.5,-0.2142857143,0.2569364321
0.5,-0.1428571429,0.2379095812
0.5,-0.0714285714,0.2185657873
0.5,0.0000000000,0.2000000000
0.5,0.0714285714,0.1846008036
0.5,0.1428571429,0.1754298118
0.5,0.2142857143,0.1732582943
0.5,0.2857142857,0.1760148513
0.5,0.3571428571,0.1814278577
0.5,0.4285714286,0.1881222987
0.5,0.5000000000,0.1953899548
1.0,-0.5000000000,0.2911094804
1.0,-0.4285714286,0.2788614532
1.0,-0.3571428571,0.2662216914
1.0,-0.2857142857,0.2532015403
1.0,-0.2142857143,0.2398524232
1.0,-0.1428571429,0.2263049432
1.0,-0.0714285714,0.2128400418
1.0,0.0000000000,0.2000000000
1.0,0.0714285714,0.1886888323
1.0,0.1428571429,0.1800519183
1.0,0.2142857143,0.1749136758
1.0,0.2857142857,0.1732133247
1.0,0.3571428571,0.1741860410
1.0,0.4285714286,0.1769497368
1.0,0.5000000000,0.1808244159
2.0,-0.5000000000,0.2643853254
2.0,-0.4285714286,0.2553526823
2.0,-0.3571428571,0.2461542419
2.0,-0.2857142857,0.2368220639
2.0,-0.2142857143,0.2274133619
2.0,-0.1428571429,0.2180243111
2.0,-0.0714285714,0.2088089057
2.0,0.0000000000,0.2000000000
2.0,0.0714285714,0.1919208180
2.0,0.1428571429,0.1849616464
2.0,0.2142857143,0.1794954927
2.0,0.2857142857,0.1757504578
2.0,0.3571428571,0.1737246324
2.0,0.4285714286,0.1732141920
2.0,0.5000000000,0.1739185625
